RFP_ID,Company_Name,Link,Owner,Publish_Date,End_Date,Event_Type,Status,Participated,Description,Note,,,
Aramco_4202956758,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBeQmRU9&awcharset=UTF-8,"Alqahtani, Asma",08/06/2020 01:21 PM,08/09/2020 07:30 PM,RFP,,No,,,,,
Aramco_4202971199,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBrPylS0&awcharset=UTF-8,"Alsharari, Bandar",12/06/2020 11:42 AM,12/07/2020 05:30 PM,RFP,,No,,,,,
Aramco_4202948917,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBcPWyxZ&awcharset=UTF-8,"Alsharari, Bandar",07/07/2020 02:21 PM,07/01/2020 04:30 PM,RFP,,No,,,,,
Aramco_4202963516,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBjLTkr2&awcharset=UTF-8,"Muhaisin, Hind",09/07/2020 10:04 AM,09/09/2020 07:30 PM,RFP,,No,,,,,
Aramco_4202962238,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBiQ3Kt7&awcharset=UTF-8,"Alqahtani, Asma",09/07/2020 11:11 AM,09/09/2020 04:00 PM,RFP,,Yes,,,,,
Third Party Cybersecurity Self-Assessment # 2 (43),Third Party Cybersecurity Self-Assessment # 2 (43),https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBjLTl%2BT&awcharset=UTF-8,"Muhaisin, Hind",09/07/2020 02:25 PM,09/01/2020 07:15 PM,RFP,,Yes,,,,,
Aramco_4202981519,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBrP4qgi&awcharset=UTF-8,"Alsharari, Bandar",12/07/2020 10:25 AM,12/13/2020 05:30 PM,RFP,,Yes,,,,,
Aramco_4202919457,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBSE8D5C&awcharset=UTF-8,"Adab, Abdulmohsen",03/08/2020 03:34 PM,03/09/2020 04:00 PM,RFP,,No,,,,,
Aramco_4202932276,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBXwWuzE&awcharset=UTF-8,"Alqahtani, Asma",04/08/2020 08:32 PM,04/20/2020 06:00 PM,RFP,,No,,,,,
Aramco_4202957550,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBcTgrSb&awcharset=UTF-8,"Muhaisin, Hind",07/08/2020 10:09 AM,08/14/2020 06:00 PM,RFP,,Yes,,,,,
Aramco_4202981958,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBrQAFhM&awcharset=UTF-8,"Alqahtani, Asma",12/08/2020 11:47 AM,12/22/2020 03:30 PM,RFP,,No,,,,,
Aramco_4202897632,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPeiGFm%2B&awcharset=UTF-8,"Muhaisin, Hind",01/09/2020 03:26 PM,01/01/2020 01:45 AM,RFP,,No,,,,,
6201152020,6201152020,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBaXja8P&awcharset=UTF-8,"Alsaeedi, Tariq",06/09/2020 11:42 AM,,RFP,,,,,,,
6201152020,6201152020,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBaXrpoW&awcharset=UTF-8,"Adab, Abdulmohsen",06/09/2020 01:34 PM,,RFP,,,,,,,
Aramco_4202970112,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBaYJyoQ&awcharset=UTF-8,"Kharraz, Saleh",06/09/2020 03:04 PM,10/11/2020 06:00 PM,RFP,,No,,,,,
Aramco_4202952260,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBeUhNnE&awcharset=UTF-8,"Alsaeedi, Tariq",08/09/2020 01:06 PM,08/18/2020 01:30 PM,RFP,,Yes,,,,,
Aramco_4202965207,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBkzr6hE&awcharset=UTF-8,"Zowayed, Abdullah J",09/09/2020 12:46 PM,09/17/2020 07:30 PM,RFP,,No,,,,,
Aramco_4202979226,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBo9wgeO&awcharset=UTF-8,"Alqahtani, Asma",11/09/2020 02:31 AM,11/29/2020 06:00 PM,RFP,,Yes,,,,,
Aramco_4202979356,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBrgNzFA&awcharset=UTF-8,"Alharbi, Shahad",12/09/2020 02:59 PM,12/09/2020 07:30 PM,RFP,,No,,,,,
